name	commits
tensorflow/compiler/tf2xla/lib/batch_dot.cc	6
tensorflow/compiler/tf2xla/lib/batch_dot.h	6
tensorflow/compiler/tf2xla/lib/cholesky.cc	6
tensorflow/compiler/tf2xla/lib/cholesky.h	6
tensorflow/compiler/tf2xla/lib/qr.cc	3
tensorflow/compiler/tf2xla/lib/qr.h	3
tensorflow/compiler/tf2xla/lib/random.cc	6
tensorflow/compiler/tf2xla/lib/random.h	4
tensorflow/compiler/tf2xla/lib/scatter.cc	6
tensorflow/compiler/tf2xla/lib/scatter.h	4
tensorflow/compiler/tf2xla/lib/triangular_solve.cc	6
tensorflow/compiler/tf2xla/lib/triangular_solve.h	6
tensorflow/compiler/tf2xla/lib/triangular_solve_test.cc	6
tensorflow/compiler/tf2xla/lib/util.cc	6
tensorflow/compiler/tf2xla/lib/util.h	6
tensorflow/compiler/tf2xla/lib/util_test.cc	6
tensorflow/compiler/tf2xla/lib/while_loop.cc	6
tensorflow/compiler/tf2xla/lib/while_loop.h	5
tensorflow/compiler/tf2xla/literal_util.cc	6
tensorflow/compiler/tf2xla/literal_util.h	6
tensorflow/compiler/tf2xla/literal_util_test.cc	3
tensorflow/compiler/tf2xla/ops/BUILD	6
tensorflow/compiler/tf2xla/ops/xla_ops.cc	2
tensorflow/compiler/tf2xla/python/BUILD	4
tensorflow/compiler/tf2xla/python/xla.py	3
tensorflow/compiler/tf2xla/python/xla_op_registry.clif	1
tensorflow/compiler/tf2xla/resource_operation_table.cc	1
tensorflow/compiler/tf2xla/resource_operation_table.h	2
tensorflow/compiler/tf2xla/resource_operation_table_test.cc	1
tensorflow/compiler/tf2xla/shape_util.cc	2
tensorflow/compiler/tf2xla/shape_util.h	2
tensorflow/compiler/tf2xla/sharding_util.cc	6
tensorflow/compiler/tf2xla/sharding_util.h	6
tensorflow/compiler/tf2xla/sharding_util_test.cc	2
tensorflow/compiler/tf2xla/test_util.cc	3
tensorflow/compiler/tf2xla/test_util.h	2
tensorflow/compiler/tf2xla/tf2xla.cc	6
tensorflow/compiler/tf2xla/tf2xla.h	5
tensorflow/compiler/tf2xla/tf2xla.proto	2
tensorflow/compiler/tf2xla/tf2xla_supported_ops.cc	2
tensorflow/compiler/tf2xla/tf2xla_supported_ops.h	1
tensorflow/compiler/tf2xla/tf2xla_supported_ops_main.cc	1
tensorflow/compiler/tf2xla/tf2xla_test.cc	6
tensorflow/compiler/tf2xla/tf2xla_util.cc	6
tensorflow/compiler/tf2xla/tf2xla_util.h	5
tensorflow/compiler/tf2xla/tf2xla_util_test.cc	6
tensorflow/compiler/tf2xla/type_util.cc	6
tensorflow/compiler/tf2xla/type_util.h	1
